Date,Category,Rejected Cat 1,Rejected Cat 2,Puzzle,Letters,Prize,Win?,Notes,Season
"September 3, 2001",On the Map,NA,NA,URUGUAY,H C M I,"$25,000",No,NA,19
"September 4, 2001",Phrase,NA,NA,I FIBBED,C D M A,Chevrolet Tahoe,No,NA,19
"September 5, 2001",Phrase,NA,NA,TUCK IT AWAY,K M D A,"$25,000",Yes,NA,19
"September 6, 2001",Title,NA,NA,JAWS,F C M I,"$25,000",Yes,NA,19
"September 7, 2001",Around the House,NA,NA,DIXIE CUPS,B H K A,"$25,000",No,NA,19
"September 10, 2001",Living Thing,NA,NA,JAYBIRD,C H M A,"$25,000",No,NA,19
"September 11, 2001",Phrase,NA,NA,I BRANCHED OUT,B G F A,"$25,000",No,NA,19
"September 12, 2001",Phrase,NA,NA,GIVE ME A HUG,G M C A,"$25,000",Yes,NA,19
"September 13, 2001",Around the House,NA,NA,MUFFIN PAN,H P C A,Toyota MR2 Spyder,No,NA,19
"September 14, 2001",Rhyme Time,NA,NA,GOOF-PROOF,P M A B,Toyota MR2 Spyder,No,NA,19
"September 17, 2001",Event,NA,NA,POKER NIGHT,C D M O,Toyota 4Runner,Yes,NA,19
"September 18, 2001",Thing,NA,NA,THAI FOOD,H M D I,Toyota 4Runner,Yes,NA,19
"September 19, 2001",Around the House,NA,NA,PIGGY BANK,M P D A,Toyota 4Runner,No,NA,19
"September 20, 2001",Proper Name,NA,NA,GARTH BROOKS,H B K A,Volkswagen New Beetle,Yes,NA,19
"September 21, 2001",Around the House,NA,NA,WINDEX,C D K O,"$25,000",No,NA,19
"September 24, 2001",Around the House,NA,NA,MOUTHWASH,C H A D,Ford Mustang convertible,No,NA,19
"September 25, 2001",On the Map,NA,NA,KODIAK ALASKA,P C D I,Ford Mustang convertible,No,NA,19
"September 26, 2001",Phrase,NA,NA,DON'T PUT IT OFF,C D W A,Ford Mustang convertible,No,NA,19
"September 27, 2001",On the Map,NA,NA,PHOENIX,P H B O,Jeep Wrangler,Yes,NA,19
"September 28, 2001",Living Thing,NA,NA,A FAWN,D M C A,"$25,000",No,NA,19
"October 1, 2001",Phrase,NA,NA,HOOK IT UP,W P C A,Volvo convertible,No,NA,19
"October 2, 2001",Living Thing,NA,NA,BABOON,D M P O,Ford Escape,No,NA,19
"October 3, 2001",Person,NA,NA,PLAINTIFF,B C D A,Acura CL,No,NA,19
"October 4, 2001",Phrase,NA,NA,IT'S SHOCKING,G P H I,Ford Escape,Yes,NA,19
"October 5, 2001",People,NA,NA,GUYS,B W P A,Volvo convertible,No,NA,19
"October 8, 2001",Place,NA,NA,PRAIRIE,B H C I,"$25,000",Yes,NA,19
"October 9, 2001",Thing,NA,NA,VINEGAR,D G C A,Land Rover,Yes,NA,19
"October 10, 2001",Event,NA,NA,A LUCKY BREAK,G D P A,Land Rover,Yes,NA,19
"October 11, 2001",Event,NA,NA,FLY-FISHING,G I P C,"$25,000",Yes,NA,19
"October 12, 2001",Around the House,NA,NA,POTPOURRI,C P G O,Land Rover,Yes,NA,19
"October 15, 2001",Occupation,NA,NA,BAILIFF,M D P A,Saab Convertible,No,NA,19
"October 16, 2001",Event,NA,NA,PAY HIKE,B D M O,Audi A4,No,NA,19
"October 17, 2001",Things,NA,NA,BABY BACK RIBS,D M P O,"$25,000",No,NA,19
"October 18, 2001",Phrase,NA,NA,I'M SO GIDDY,H P M I,Toyota 4Runner,Yes,NA,19
"October 19, 2001",On the Map,NA,NA,BRASILIA,P B C I,"$25,000",Yes,NA,19
"October 22, 2001",On the Map,NA,NA,QUEBEC,D G H I,Honda Accord,No,NA,19
"October 23, 2001",Thing,NA,NA,THIGHBONE,B D M I,"$25,000",No,NA,19
"October 24, 2001",Place,NA,NA,THE FAIRWAY,M B D O,"$25,000",No,NA,19
"October 25, 2001",Thing,NA,NA,DOORJAMB,F Y B A,"$25,000",No,NA,19
"October 26, 2001",Living Thing,NA,NA,PENGUIN,C M P A,Honda Accord,Yes,NA,19
"October 29, 2001",On the Map,NA,NA,JUNEAU,M H C O,Volkswagen Jetta,No,NA,19
"October 30, 2001",Phrase,NA,NA,OUT OF WHACK,M A C D,"$25,000",No,NA,19
"October 31, 2001",Fictional Character,NA,NA,HOBGOBLIN,C M P I,Volkswagen Jetta,No,NA,19
"November 1, 2001",Person,NA,NA,PSYCHIC,D C M A,"$25,000",No,NA,19
"November 2, 2001",Phrase,NA,NA,IN A JIFFY,C M P A,"$25,000",No,NA,19
